ts,serialNo,home,batteryVoltageMilliV,insideTemperatureCentiC,humidityMilliPerc
2018-12-22,VA4202760704,165132,2701.8687,1905.4598,577.8175
2018-12-23,VA4202760704,165132,2700.866,1930.1417,546.62067
2018-12-24,VA4202760704,165132,2700.2017,1891.1542,550.5849599999998
2018-12-25,VA4202760704,165132,2698.3486,1845.2563,520.82355
2018-12-26,VA4202760704,165132,2697.301,1883.8387,556.9713
2018-12-27,VA4202760704,165132,2696.3274,1836.764,545.2641
2018-12-28,VA4202760704,165132,2694.1038,1898.4985,546.4777
2018-12-29,VA4202760704,165132,2696.2517,1876.3822,511.2548
2018-12-30,VA4202760704,165132,2694.7,1897.0466,526.7833
2018-12-31,VA4202760704,165132,2694.5,1927.9052,520.1569
2019-01-01,VA4202760704,165132,2695.2773,1950.6156,512.8468
2019-01-02,VA4202760704,165132,2692.3206,1874.891,527.3686
2019-01-03,VA4202760704,165132,2690.9275,1873.2173,516.4039
2019-01-04,VA4202760704,165132,2690.1948,1897.3646,496.79422
2019-01-05,VA4202760704,165132,2689.8337,1847.0967,517.67975
2019-01-06,VA4202760704,165132,2688.125,1863.7404,486.8686
2019-01-07,VA4202760704,165132,2687.5427,1893.1311,512.2317
2019-01-08,VA4202760704,165132,2686.8418,1884.7404,481.55225
2019-01-09,VA4202760704,165132,2685.4363,1890.5605,511.8567
2019-01-10,VA4202760704,165132,2684.9028,1887.8639,507.42776
2019-01-11,VA4202760704,165132,2683.3713,1870.1971,517.50287
2019-01-12,VA4202760704,165132,2680.9534,1799.1371,454.27115
2019-01-13,VA4202760704,165132,2679.3333,1834.8645,445.02982
2019-01-14,VA4202760704,165132,2679.2573,1890.8208,463.18787
2019-01-15,VA4202760704,165132,2679.473,1902.3451,460.57507
2019-01-16,VA4202760704,165132,2679.092,1919.2208,469.00922
2019-01-17,VA4202760704,165132,2676.8389,1951.8191,455.7467
2019-01-18,VA4202760704,165132,2674.5125,1943.8638,412.24014
2019-01-19,VA4202760704,165132,2674.2295,1880.8248,421.41995
